"TIPO_PAGAMENTO","PRG_ASSEGNO","NUM_ASSEGNO_BONIFICO","DAT_PAGAMENTO","IMPORTO","COD_ENTE_INTEST","DAT_ADDEBITO","FLG_STAMPATO","FLG_A_B_UFFICIO","ORIGINE","COD_COMP","COD_PROVIDER","COD_NUC","PRG_NUC","INTEST_DEC_1","INTEST_DEC_2","NOTA_1","NOTA_2","NOTA_3","COD_STR"
"B","46215","46215","2024-12-02 00:00:00.0","32.54",,,"S","S","P","0001",,"007149","2",,,"2024","00074121",,
"B","46216","46216","2024-12-02 00:00:00.0","750",,,"S","S","P","0001","CONV","009207","2",,,"2024","00074125",,"06860"
"B","46217","46217","2024-12-02 00:00:00.0","217",,,"S","S","P","0001",,"007027","1",,,"2024","00074129",,
"B","46218","46218","2024-12-02 00:00:00.0","30",,,"S","S","P","0073",,"012727","1",,,"2024","00074133",,
"B","46219","46219","2024-12-02 00:00:00.0","165",,,"S","S","P","0001",,"017223","1",,,"2024","00074135",,
"B","46220","46220","2024-12-02 00:00:00.0","126",,,"S","S","P","0001",,"006203","4",,,"2024","00074137",,
"B","46221","46221","2024-12-02 00:00:00.0","112.7",,,"S","S","P","0001",,"006203","4",,,"2024","00074145",,
"B","46222","46222","2024-12-02 00:00:00.0","32.3",,,"S","S","P","0073",,"013765","1",,,"2024","00074147",,
"B","46223","46223","2024-12-02 00:00:00.0","20.66",,,"S","S","P","0001",,"010973","1",,,"2024","00074155",,
"B","46224","46224","2024-12-02 00:00:00.0","59.2",,,"S","S","P","0073",,"013765","2",,,"2024","00074157",,
"B","46225","46225","2024-12-02 00:00:00.0","670.1",,,"S","S","P","0001",,"004536","1",,,"2024","00074159",,
"B","46226","46226","2024-12-02 00:00:00.0","70",,,"S","S","P","0073",,"012126","1",,,"2024","00074161",,
"B","46227","46227","2024-12-02 00:00:00.0","18.45",,,"S","S","P","0001",,"008102","1",,,"2024","00074165",,
"B","46228","46228","2024-12-02 00:00:00.0","36.15",,,"S","S","P","0001",,"005123","1",,,"2024","00074167",,
"B","46229","46229","2024-12-02 00:00:00.0","80.8",,,"S","S","P","0001",,"018389","1",,,"2024","00074171",,
"B","46230","46230","2024-12-02 00:00:00.0","46.15",,,"S","S","P","0001",,"011125","1",,,"2024","00074177",,
"B","46231","46231","2024-12-02 00:00:00.0","146",,,"S","S","P","0001",,"009016","1",,,"2024","00074183",,
"B","46232","46232","2024-12-02 00:00:00.0","48.65",,,"S","S","P","0001",,"018354","1",,,"2024","00074189",,
"B","46233","46233","2024-12-02 00:00:00.0","62.66",,,"S","S","P","0001",,"007149","2",,,"2024","00074191",,
"B","46234","46234","2024-12-02 00:00:00.0","34.8",,,"S","S","P","0001",,"008857","4",,,"2024","00074201",,
"B","46235","46235","2024-12-02 00:00:00.0","20",,,"S","S","P","0001",,"009320","4",,,"2024","00074211",,
"B","46236","46236","2024-12-02 00:00:00.0","112.5",,,"S","S","P","0001",,"005691","1",,,"2024","00074213",,
"B","46237","46237","2024-12-02 00:00:00.0","130",,,"S","S","P","0001",,"006322","3",,,"2024","00074217",,
"B","46238","46238","2024-12-02 00:00:00.0","90",,,"S","S","P","0001",,"017110","1",,,"2024","00074219",,
"B","46239","46239","2024-12-02 00:00:00.0","326",,,"S","S","P","0001",,"006012","1",,,"2024","00074221",,
"B","46240","46240","2024-12-02 00:00:00.0","159.2",,,"S","S","P","0002",,"006868","1",,,"2024","00074225",,
"B","46241","46241","2024-12-02 00:00:00.0","50",,,"S","S","P","0001",,"005827","1",,,"2024","00074227",,
"B","46242","46242","2024-12-02 00:00:00.0","60",,,"S","S","P","0002",,"006868","1",,,"2024","00074229",,
"B","46243","46243","2024-12-02 00:00:00.0","50",,,"S","S","P","0001",,"005827","1",,,"2024","00074231",,
"B","46244","46244","2024-12-02 00:00:00.0","320",,,"S","S","P","0002",,"006868","2",,,"2024","00074235",,
"B","46245","46245","2024-12-02 00:00:00.0","300",,,"S","S","P","0002",,"006868","2",,,"2024","00074237",,
"B","46246","46246","2024-12-02 00:00:00.0","82.8",,,"S","S","P","0002",,"006857","1",,,"2024","00074243",,
"B","46247","46247","2024-12-02 00:00:00.0","90",,,"S","S","P","0001",,"006011","4",,,"2024","00074245",,
"B","46248","46248","2024-12-02 00:00:00.0","17.9",,,"S","S","P","0001",,"005184","2",,,"2024","00074247",,
"B","46249","46249","2024-12-02 00:00:00.0","174.2",,,"S","S","P","0001",,"007526","1",,,"2024","00074249",,
"B","46250","46250","2024-12-02 00:00:00.0","7.69",,,"S","S","P","0073",,"014641","1",,,"2024","00074257",,
"B","46251","46251","2024-12-02 00:00:00.0","110",,,"S","S","P","0073",,"013209","1",,,"2024","00074259",,
"B","46252","46252","2024-12-02 00:00:00.0","50",,,"S","S","P","0001",,"005827","1",,,"2024","00074261",,
"B","46253","46253","2024-12-02 00:00:00.0","50",,,"S","S","P","0001",,"005827","1",,,"2024","00074263",,
"B","46254","46254","2024-12-02 00:00:00.0","50",,,"S","S","P","0001",,"005827","1",,,"2024","00074265",,
"B","46255","46255","2024-12-02 00:00:00.0","49.44",,,"S","S","P","0001",,"011033","2",,,"2024","00074267",,
"B","46256","46256","2024-12-02 00:00:00.0","70",,,"S","S","P","0073",,"013209","2",,,"2024","00074269",,
"B","46257","46257","2024-12-02 00:00:00.0","8.6",,,"S","S","P","0001",,"010828","1",,,"2024","00074277",,
"B","46258","46258","2024-12-02 00:00:00.0","111",,,"S","S","P","0001",,"005827","1",,,"2024","00074281",,
"B","46259","46259","2024-12-02 00:00:00.0","49",,,"S","S","P","0001",,"011144","1",,,"2024","00074283",,
"B","46260","46260","2024-12-02 00:00:00.0","2531.85",,,"S","S","P","0002",,"006858","2",,,"2024","00074285",,
"B","46261","46261","2024-12-02 00:00:00.0","70",,,"S","S","P","0073",,"012676","2",,,"2024","00074296",,
"B","46263","46263","2024-12-02 00:00:00.0","170",,,"S","S","P","0001",,"016265","1",,,"2024","00074304",,
"B","46264","46264","2024-12-02 00:00:00.0","50",,,"S","S","P","0073",,"013680","2",,,"2024","00074314",,
"B","46265","46265","2024-12-02 00:00:00.0","181.2",,,"S","S","P","0073",,"012722","1",,,"2024","00074332",,
"B","46266","46266","2024-12-02 00:00:00.0","28",,,"S","S","P","0001",,"011119","1",,,"2024","00074338",,
"B","48848","48848","2024-12-19 00:00:00.0","138.35",,,"S","S","P","0073",,"011651","1",,,"2024","00080107",,
"B","48849","48849","2024-12-19 00:00:00.0","40",,,"S","S","P","0001",,"018851","2",,,"2024","00080121",,
"B","48853","48853","2024-12-19 00:00:00.0","200",,,"S","S","P","0073",,"012721","1",,,"2024","00080133",,
"B","29424","29424","2024-06-20 00:00:00.0","110",,,"S","S","P","0001","CONV","014847","1",,,"2024","00030272",,"04257"
"B","29425","29425","2024-06-20 00:00:00.0","70.88",,,"S","S","P","0001","CONV","011416","1",,,"2024","00030302",,"02380"
"B","29426","29426","2024-06-20 00:00:00.0","73",,,"S","S","P","0073","CONV","012516","3",,,"2024","00030340",,"04934"
"B","29427","29427","2024-06-20 00:00:00.0","37.44",,,"S","S","P","0001","CONV","005399","1",,,"2024","00030386",,"01644"
"B","29428","29428","2024-06-20 00:00:00.0","256.7",,,"S","S","P","0073","CONV","011676","1",,,"2024","00030402",,"01822"
"B","29429","29429","2024-06-20 00:00:00.0","1344",,,"S","S","P","0073","CONV","013372","1",,,"2024","00030492",,"04211"
"B","29430","29430","2024-06-20 00:00:00.0","193.14",,,"S","S","P","0001","CONV","005334","1",,,"2024","00030509",,"01644"
"B","29431","29431","2024-06-20 00:00:00.0","500",,,"S","S","P","0073",,"012603","2",,,"2024","00030643",,
"B","29432","29432","2024-06-20 00:00:00.0","57.12",,,"S","S","P","0001",,"011071","1",,,"2024","00030805",,
"B","29433","29433","2024-06-20 00:00:00.0","105",,,"S","S","P","0001",,"011362","1",,,"2024","00030835",,
"B","29434","29434","2024-06-20 00:00:00.0","40",,,"S","S","P","0001","CONV","004911","1",,,"2024","00030992",,"02481"
"B","29435","29435","2024-06-20 00:00:00.0","98",,,"S","S","P","0001",,"011446","1",,,"2024","00031002",,
"B","29436","29436","2024-06-20 00:00:00.0","125",,,"S","S","P","0073","CONV","013077","1",,,"2024","00031011",,"02380"
"B","29437","29437","2024-06-20 00:00:00.0","226.98",,,"S","S","P","0073","CONV","013077","1",,,"2024","00031015",,"02380"
"B","29438","29438","2024-06-20 00:00:00.0","745",,,"S","S","P","0001",,"006207","4",,,"2024","00031022",,
"B","29439","29439","2024-06-20 00:00:00.0","63.83",,,"S","S","P","0073","CONV","013371","1",,,"2024","00031073",,"01651"
"B","29440","29440","2024-06-20 00:00:00.0","7285.78",,,"S","S","P","0001",,"008205","1",,,"2024","00031079",,
"B","29441","29441","2024-06-20 00:00:00.0","100",,,"S","S","P","0001",,"010971","1",,,"2024","00031087",,
"B","29442","29442","2024-06-20 00:00:00.0","83",,,"S","S","P","0073","CONV","012353","1",,,"2024","00031135",,"02379"
"B","29443","29443","2024-06-20 00:00:00.0","128",,,"S","S","P","0001","CONV","008047","2",,,"2024","00031165",,"02227"
"B","29444","29444","2024-06-20 00:00:00.0","70",,,"S","S","P","0005","CONV","006558","3",,,"2024","00031228",,"01596"
"B","29445","29445","2024-06-20 00:00:00.0","38.02",,,"S","S","P","0001",,"008501","2",,,"2024","00031244",,
"B","29446","29446","2024-06-20 00:00:00.0","80",,,"S","S","P","0005","CONV","015058","3",,,"2024","00031258",,"00733"
"B","29447","29447","2024-06-20 00:00:00.0","102",,,"S","S","P","0001","CONV","005756","1",,,"2024","00031287",,"00762"
"B","29448","29448","2024-06-20 00:00:00.0","37.5",,,"S","S","P","0001","CONV","004594","2",,,"2024","00031296",,"01662"
"B","29449","29449","2024-06-20 00:00:00.0","30",,,"S","S","P","0001","CONV","009985","1",,,"2024","00031339",,"02688"
"B","29450","29450","2024-06-20 00:00:00.0","25",,,"S","S","P","0001",,"009357","1",,,"2024","00031381",,
"B","29451","29451","2024-06-20 00:00:00.0","77",,,"S","S","P","0073","CONV","013077","1",,,"2024","00031449",,"02380"
"B","29452","29452","2024-06-20 00:00:00.0","400",,,"S","S","P","0001",,"006385","2",,,"2024","00031486",,
"B","29453","29453","2024-06-20 00:00:00.0","56.01",,,"S","S","P","0001","CONV","009520","1",,,"2024","00031489",,"01594"
