"COD_ACC","PRG_CONV","NUM_POLIZZA","COD_COMP","DES_CONV","PERC_ACCANTONAMENTO","CODICE_POLIZZA_AZIENDA","ACCORDO_NP","PRG_GRUPPO_INVIO","COD_PROVIDER","MAX_GG_PAGAMENTO","FLG_LIQUIDAZIONE_DIRETTA"
"0019","167","72908336","0001","FDO TUTELA 10 TEA ENERGIE SRL","0",,"A","1","CONV","30","N"
"0019","168","72908340","0001","FDO TUTELA 10 APRISYSTEM SRL","0",,"A","1","CONV","30","N"
"0038","75","72908333","0001","MITUTELA BASE 038","0",,"A","1","CONV","0","N"
"0038","76","72908338","0001","MITUTELA MEDIUM 032","0",,"A","1","CONV","0","N"
"0038","77","72908345","0001","MITUTELA BASE 039","0",,"A","1","CONV","0","N"
"0038","78","72908347","0001","MITUTELA BASE 040","0",,"A","1","CONV","0","N"
"0038","79","72908348","0001","MITUTELA MEDIUM 033","0",,"A","1","CONV","0","N"
"0038","80","72908349","0001","MITUTELA MEDIUM 034","0",,"A","1","CONV","0","N"
"0038","81","72908350","0001","MITUTELA MEDIUM 035","0",,"A","1","CONV","0","N"
"0038","82","72908353","0001","MITUTELA MEDIUM 036","0",,"A","1","CONV","0","N"
"0019","170","72908342","0001","FDO TUTELA 11 AMICO MIO SRL","0",,"A","1","CONV","30","N"
"0019","171","72908344","0001","FDO TUTELA 10 MASK SRL","0",,"A","1","CONV","30","N"
"0019","172","72908346","0001","FDO TUTELA 11 DASSORI SRL","0",,"A","1","CONV","30","N"
"0019","173","72908351","0001","FDO TUTELA 10 MITO IMMOBILIARE","0",,"A","1","CONV","30","N"
"0019","174","72908352","0001","FDO TUTELA 10 BARRIO DE TANGO","0",,"A","1","CONV","30","N"
"0019","175","72908354","0001","FDO TUTELA 12 A.M.A.N. SCPA","0",,"A","1","CONV","30","N"
"0019","176","72908359","0001","FDO TUTELA 10 ERGA SI SRL","0",,"A","1","CONV","30","N"
"0019","177","72908360","0001","FDO TUTELA 10 TECNO SALD SAS","0",,"A","1","CONV","30","N"
"0019","178","72908361","0001","FDO TUTELA 10 K IMMOBILIARE 2","0",,"A","1","CONV","30","N"
"0019","179","72908364","0001","FDO TUTELA 10 EVIMERIA SRL","0",,"A","1","CONV","30","N"
"0019","180","72908365","0001","FDO TUTELA 11 SISTEMI OPEN SRL","0",,"A","1","CONV","30","N"
"0019","181","72908371","0001","FDO TUTELA 11 COIMAR SRL","0",,"A","1","CONV","30","N"
"0019","182","72908372","0001","FDO TUTELA 11 SDM SRL","0",,"A","1","CONV","30","N"
"0019","183","72908374","0001","FDO TUTELA 11 TRANCERIA CVR","0",,"A","1","CONV","30","N"
"0019","184","72908376","0001","FDO TUTELA 11 OTTICA MODERNA","0",,"A","1","CONV","30","N"
"0019","185","72908382","0001","FDO TUTELA 11 DIMO SRL","0",,"A","1","CONV","30","N"
"0019","186","72908386","0001","FDO TUTELA 10 STUDIO BALDUINA","0",,"A","1","CONV","30","N"
"0019","187","72908387","0001","FDO TUTELA 11 GENERAL TRASPORT","0",,"A","1","CONV","30","N"
"0019","188","72908388","0001","FDO TUTELA 11 EDIL MERELLO SRL","0",,"A","1","CONV","30","N"
"0019","189","72908389","0001","FDO TUTELA 10 ERIMAT SRL","0",,"A","1","CONV","30","N"
"0019","190","72908390","0001","FDO TUTELA 11 AT ASSOCIATI SRL","0",,"A","1","CONV","30","N"
"0019","191","79244370","0001","FDO TUTELA 01 INT AGS SPA","0",,"A","1","CONV","30","N"
"0019","192","79244379","0001","FDO TUTELA 01 INT SANDALJ","0",,"A","1","CONV","30","N"
"0019","193","79244380","0001","FDO TUTELA 01 INT DOLOMITI ENE","0",,"A","1","CONV","30","N"
"0019","194","79244387","0001","FDO TUTELA 01BIS BOTZEN INVEST","0",,"A","1","CONV","30","N"
"0019","195","79244389","0001","FDO TUTELA 01BIS NUMMUS INFO","0",,"A","1","CONV","30","N"
"0019","196","79244396","0001","FDO TUTELA 10 FONTANA ERMES","0",,"A","1","CONV","30","N"
"0019","197","79244402","0001","FDO TUTELA 11 ING. G. LUPI","0",,"A","1","CONV","30","N"
"0019","198","79244403","0001","FDO TUTELA 11 WATER CONSULTING","0",,"A","1","CONV","30","N"
"0019","199","79244409","0001","FDO TUTELA 16 INT ATLANTICA TR","0",,"A","1","CONV","30","N"
"0019","200","79244412","0001","FDO TUTELA 10 INSER SPA","0",,"A","1","CONV","30","N"
"0038","103","500881443","0001","MITUTELA BASE 050","0",,"A","1","CONV","0","N"
"0038","104","500881444","0001","MITUTELA BASE 051","0",,"A","1","CONV","0","N"
"0038","105","500881445","0001","MITUTELA BASE 052","0",,"A","1","CONV","0","N"
"0038","106","500881446","0001","MITUTELA BASE 053","0",,"A","1","CONV","0","N"
"0038","108","500881450","0001","MITUTELA TOP 004","0",,"A","1","CONV","0","N"
"0038","109","500881489","0001","MITUTELA TOP 005","0",,"A","1","CONV","0","N"
"0038","110","500881884","0001","MITUTELA TOP 006","0",,"A","1","CONV","0","N"
"0038","111","501049273","0001","MITUTELA TOP 007","0",,"A","1","CONV","0","N"
"0038","112","501049349","0001","MITUTELA TOP 008","0",,"A","1","CONV","0","N"
"0038","113","501049269","0001","MITUTELA VIP 005","0",,"A","1","CONV","0","N"
"0038","115","500881492","0001","MITUTELA BASE 056","0",,"A","1","CONV","0","N"
"0038","116","500881493","0001","MITUTELA BASE 057","0",,"A","1","CONV","0","N"
"0038","117","500881883","0001","MITUTELA BASE 058","0",,"A","1","CONV","0","N"
"0038","118","500881497","0001","MITUTELA MEDIUM 046","0",,"A","1","CONV","0","N"
"0038","120","500881886","0001","MITUTELA MEDIUM 048","0",,"A","1","CONV","0","N"
"0038","121","501049078","0001","MITUTELA MEDIUM 049","0",,"A","1","CONV","0","N"
"0038","122","501049176","0001","MITUTELA MEDIUM 050","0",,"A","1","CONV","0","N"
"0038","123","501049270","0001","MITUTELA MEDIUM 051","0",,"A","1","CONV","0","N"
"0038","124","501049272","0001","MITUTELA MEDIUM 052","0",,"A","1","CONV","0","N"
"0038","125","501049276","0001","MITUTELA MEDIUM 053","0",,"A","1","CONV","0","N"
"0019","249","501049356","0001","FDO TUTELA 01 INT IHC SPA","0",,"A","1","CONV","30","N"
"0019","250","501049413","0001","FDO TUTELA 11 CENTRO METEO ITA","0",,"A","1","CONV","30","N"
