"IDFATTURA","ANNO_PRA","NUM_PRA","PRG_VOCE"
"262","2024","00001015","1"
"276","2024","00000248","1"
"199","2024","00000837","1"
"299","2024","00001162","1"
"244","2024","00000960","1"
"172","2024","00000758","1"
"141","2024","00000631","1"
"418","2024","00001349","3"
"427","2024","00001522","2"
"326","2024","00000371","1"
"425","2024","00001516","1"
"741","2024","00002291","1"
"588","2024","00001922","2"
"913","2024","00002688","2"
"427","2024","00001522","1"
"922","2024","00002708","1"
"380","2024","00001412","1"
"531","2024","00001769","1"
"544","2024","00001797","1"
"1874","2024","00003987","4"
"853","2024","00002534","1"
"423","2024","00001508","2"
"564","2024","00001851","1"
"520","2024","00000819","1"
"543","2024","00001795","1"
"529","2024","00000557","1"
"532","2024","00001771","1"
"690","2024","00002155","1"
"526","2024","00001761","1"
"354","2024","00001316","1"
"100","2024","00000332","1"
"557","2024","00001832","1"
"759","2024","00002329","1"
"508","2024","00001727","1"
"421","2024","00001503","1"
"1874","2024","00003987","5"
"753","2024","00002319","1"
"561","2024","00001833","1"
"100","2024","00000332","3"
"399","2024","00001450","1"
"648","2024","00002058","1"
"565","2024","00001853","1"
"1874","2024","00003987","6"
"493","2024","00001684","1"
"493","2024","00001684","2"
"493","2024","00001684","3"
"433","2024","00001551","1"
"305","2024","00001183","1"
"404","2024","00001459","1"
"415","2024","00001487","1"
"461","2024","00001597","1"
"588","2024","00001922","1"
"1874","2024","00003987","7"
"557","2024","00001832","2"
"589","2024","00001928","1"
"242","2024","00000956","1"
"592","2024","00001936","1"
"322","2024","00001237","2"
"647","2024","00002056","1"
"322","2024","00001237","1"
"1874","2024","00003987","8"
"100","2024","00000332","4"
"1874","2024","00003987","9"
"2309","2024","00005980","1"
"748","2024","00002303","2"
"1874","2024","00003987","1"
"914","2024","00002688","3"
"736","2024","00002283","1"
"902","2024","00002666","1"
"643","2024","00002048","1"
"403","2024","00001457","1"
"1874","2024","00003987","2"
"828","2024","00002472","1"
"1874","2024","00003987","10"
"413","2024","00001476","1"
"689","2024","00002151","1"
"674","2024","00000663","1"
"674","2024","00000663","2"
"100","2024","00000332","5"
"1015","2024","00001696","2"
"1058","2024","00003029","1"
"1874","2024","00003987","11"
"268","2024","00001032","1"
"774","2024","00002355","1"
"1874","2024","00003987","12"
"698","2024","00002195","1"
"1874","2024","00003987","13"
"922","2024","00002708","2"
"596","2024","00001950","1"
"892","2024","00002626","1"
"738","2024","00002287","1"
"1874","2024","00003987","14"
"1874","2024","00003987","15"
"1874","2024","00003987","16"
"1874","2024","00003987","17"
"1874","2024","00003987","18"
"1874","2024","00003987","19"
"1874","2024","00003987","20"
"1874","2024","00003987","21"
"921","2024","00002706","1"
"2050","2024","00005423","1"
"685","2024","00002141","1"
"413","2024","00001476","2"
"922","2024","00002708","3"
"934","2024","00002742","1"
"454","2024","00001583","1"
"950","2024","00002791","1"
"387","2024","00001430","1"
"2045","2024","00005288","1"
"704","2024","00002213","1"
"729","2024","00002273","1"
"474","2024","00001640","1"
"499","2024","00001702","1"
"264","2024","00001022","1"
"394","2024","00001440","1"
"2155","2024","00003639","1"
"361","2024","00001331","1"
"367","2024","00001347","1"
"823","2024","00001099","1"
"823","2024","00001099","2"
"2248","2024","00005868","1"
"843","2024","00002518","1"
"608","2024","00001986","1"
"598","2024","00001956","1"
